hashtags,text,user,location,time
[],Hang in there It can be bigger than any of us. Love yourself.,jhs_sanchez001,"Whittier, CA",Thu Oct 25 04:09:31 +0000 2018
[],"I donâ€™t like being negative on social media, but your football podcast today could not be any more negâ€_",alexEbaker,"Enid, OK",Thu Oct 25 04:11:10 +0000 2018
[],I hate the fact our coaches and players are all over the media talking and acting as if Chiefs are a small team thaâ€_,JoeweeCarter,"Midrand, South Africa",Thu Oct 25 04:12:23 +0000 2018
[],Celebrating a great Football and Volleyball season at Johns Incredible. Spartans demonstrated great sportsmanship aâ€_,Serrano_OMSD,"Montclair, CA",Thu Oct 25 04:12:24 +0000 2018
[],Time to redo the office pool,scottwaltersmsu,"Columbus, MS",Thu Oct 25 04:12:39 +0000 2018
[],"Bruh after High School, Football is nothing but a Business and Lifestyle _Ÿ_·â€çï¸è_Ÿ_”",burks_mb,"Fort Dodge, IA",Thu Oct 25 04:12:47 +0000 2018
[],Same. I don't hear enough about SEC football on a regular basis so this is honestly so refreshing.,hilwarren,"Florissant, MO",Thu Oct 25 04:13:52 +0000 2018
[],Do you attend football games if you are taking the ACT in the morning?,angeleeb5,"Collierville, TN",Thu Oct 25 04:15:24 +0000 2018
[],. promised me in May heâ€™d hook me up with some of his work ... _Ÿ_¨_Ÿ_¨_Ÿ_¨,samspiegs,"New Orleans, LA",Thu Oct 25 04:16:42 +0000 2018
[],THE THRILL,johnblascojr,"Denver, CO",Thu Oct 25 04:17:06 +0000 2018
[],When one of your official titles is Bison Football Analyst ... itâ€™s not much of a contest lol! And if anyoâ€_,bethhooleVNL,"Fargo, ND",Thu Oct 25 04:17:13 +0000 2018
['sportsjunkie'],This is the best time of the year. Football/Basketball/Baseball all going on right now,LouieLiftsAlot,"Vincent, CA",Thu Oct 25 04:17:28 +0000 2018
[],Tomorrow is Fresh/Soph football game against Compton. Can't wait!!!!! Go Bruins Go!!!!! Woodrow Wilson Classicalâ€_,LIL_MAMI195,"Long Beach, CA",Thu Oct 25 04:19:39 +0000 2018
[],yarder for the last field goal Iâ€™ll ever kick in high school. Forever thankful I started playing a year ago. Gonâ€_,matthiaskicking,Wright-Tree Stadium,Thu Oct 25 04:19:47 +0000 2018
[],Peewee football is no joke. I got a nice long lesson at the E.R. About the meaning of a â€œstingerâ€ù. _Ÿ__â€çï¸è,Kristina_Moats,"Graham, WA",Thu Oct 25 04:19:47 +0000 2018
[],This why I like football more at least itâ€™s more chance ya team can win than basketball,SwaggyRa,"Philadelphia, PA",Thu Oct 25 04:19:49 +0000 2018
[],Must be an east coast thing. Comes from football. Also itâ€™s hell.,Kenien,"Oakland, CA",Thu Oct 25 04:20:21 +0000 2018
[],Thursday night footballTNF.. iconlounge148 drink specials all night. lynnparkproject fâ€_,WestsideRon,"Indianapolis, IN",Thu Oct 25 04:21:03 +0000 2018
[],Damn,NINO_GBB,Namibia,Thu Oct 25 04:22:00 +0000 2018
[],I donâ€™t watch football so Iâ€™ll probably never see it or Iâ€™ll have to YouTube it,mahershmallow,"Liverpool, England",Thu Oct 25 04:22:18 +0000 2018
[],A nice read for your evening about school administrations that have taken appropriate action:,KyleTekautz,"Des Moines, IA",Thu Oct 25 04:22:23 +0000 2018
[],"You're gonna put a lot of BS ""hitting coaches"" out of business. Football is almost over. Gonna restartâ€_",mshaffer20,"Pleasanton, CA",Thu Oct 25 04:22:37 +0000 2018
[],Be sure to pick up Thursday's edition of The Sentinel Sports to get the details on Friday night's area football gamâ€_,John_Krueger,"Nacogdoches, TX",Thu Oct 25 04:23:32 +0000 2018
[],"Football outsiders ... you can see with the price of cards that's only like k Max. Wish me luck, hopefully itâ€_",iim_riskyy,"Warwick, RI",Thu Oct 25 04:24:02 +0000 2018
[],"Finished with training and very eager to watch the Dortmund v Atleti match tonight. -0??? Damn In general, how maâ€_",SupremacyTF,"Gardena, CA",Thu Oct 25 04:24:32 +0000 2018
[],In against Tunisia. Ai papa this is my best memories of S.A. Football,SolleeTshediso,"Zamdela, South Africa",Thu Oct 25 04:24:42 +0000 2018
[],Could and be any more negative? If you hate the team and coachesâ€_,alexEbaker,"Enid, OK",Thu Oct 25 04:24:45 +0000 2018
[],Those are either country capitals or bigger / economically stronger regional cities. Liverpool punchâ€_,SuperFurryBrad,"Leeds, England",Thu Oct 25 04:26:30 +0000 2018
[],BUUUUURRRRRRNNN!!,jeanab14,"Texas, USA",Thu Oct 25 04:27:19 +0000 2018
[],Scientist: â€œGeneric engineering will let us design the future.â€ù Child: â€œCan we make butterflies that can pollenateâ€_,TruettDietz,"Atlanta, GA",Thu Oct 25 04:27:25 +0000 2018
[],an American professional wrestler and a former professional gridiron football player.He is part of the AnoaÊ»i familâ€_,PuraneKetan,"Ahmadnagar, India",Thu Oct 25 04:28:56 +0000 2018
"['WorldCup', 'TeamJapan']",Keisuke Honda green JERSEY of just posted at link in profile () â€_,WatchTheBreaks,"Beverly Hills, CA",Thu Oct 25 04:28:58 +0000 2018
[],"In the long run character, not talent, matters.",coach_uy,"Hendersonville, NC",Thu Oct 25 04:29:14 +0000 2018
[],"Goodnight everybody! Itâ€™s been another bad health day, but my Red Sox are one more game closer to winning the Worldâ€_",Ladyfemme9,"Massachusetts, USA",Thu Oct 25 04:29:35 +0000 2018
[],Funny when irrelevant players talk smack.,AlexWalkerTV,"Kentucky, USA",Thu Oct 25 04:30:59 +0000 2018
[],"Hear, hear, !",Annie47429344,"Detroit, MI",Thu Oct 25 04:31:11 +0000 2018
"['babycakes', 'mylifeincolor', 'mmscheerleader']",Kaydenâ€™s last th grade football game. Mooresville Middle School Redâ€_,shanabragg,"North Carolina, USA",Thu Oct 25 04:31:16 +0000 2018
[],"Retired from college football, Larry Culpepper now hangs out at matches Laddie E Cimpl Arena",JCimburek,"Yankton, SD",Thu Oct 25 04:31:19 +0000 2018
[],â€_,CoachHolst,"California, USA",Thu Oct 25 04:31:25 +0000 2018
[],Damn ya tweet was stupid as shit and you had to change to football. We talking about basketball idiot,e_m_d22,"San Jose, CA",Thu Oct 25 04:31:26 +0000 2018
[],"Football outsiders cost me training , gold badge and silver badge, ... Wish me luck",iim_riskyy,"Warwick, RI",Thu Oct 25 04:31:28 +0000 2018
['SmallJoys'],A cold and some highlights after a -0 win...basketball and football,GIGJB,Trinidad and Tobago,Thu Oct 25 04:31:43 +0000 2018
[],let them know blood,mylesthomas_10,"Chicago, IL",Thu Oct 25 04:32:09 +0000 2018
[],This is why college football is the best.,Chris_Oven,"Norman, OK",Thu Oct 25 04:32:26 +0000 2018
[],We should use the football air-yard stats for Stephâ€™s threes.,thomweaver24,"Philadelphia, PA",Thu Oct 25 04:33:11 +0000 2018
[],Truly selfless. Only care about their teammates and scoreboard.,Spenc_Armstrong,"Air Force Academy, CO",Thu Oct 25 04:33:18 +0000 2018
[],They need to take Someone from defenseâ€™s C and give it to,NewKungFuKenny,"Martinez, CA",Thu Oct 25 04:34:11 +0000 2018
[],Dark ages football stadium,blayneyblanet,"Grays, East",Thu Oct 25 04:35:11 +0000 2018
[],continues to be the laughing stock of the power .,bryand85,"Lakewood, WA",Thu Oct 25 04:35:18 +0000 2018
[],No yâ€™all just think yâ€™all will win the fucking natty every year when in all reâ€_,TheJKing_12,"Tennessee, USA",Thu Oct 25 04:35:43 +0000 2018
[],Oh Iâ€™ve asked some questions to some fellow alum faâ€_,alexEbaker,"Enid, OK",Thu Oct 25 04:35:43 +0000 2018
[],"Dear Seattle, There are other sports than Seahawks football.",RealRidgeODell,"Seattle, WA",Thu Oct 25 04:35:53 +0000 2018
[],Except this time FSU isnâ€™t ranked and doesnâ€™t have one of the best football teams to ever play college football lol,Robss6,"South Carolina, USA",Thu Oct 25 04:36:15 +0000 2018
[],Iâ€™m gonna be sick,Ceevee3o,"Lubbock, TX",Thu Oct 25 04:36:39 +0000 2018
['football'],It'll be Thursday night instead of the usual Friday night game to close out Little Bit's school's footbalâ€_,shinyclothingc1,"Sumter, SC",Thu Oct 25 04:38:04 +0000 2018
[],Canâ€™t wait for this tonight. Go hard,cameron_honey2,"Sydney, New South Wales",Thu Oct 25 04:38:34 +0000 2018
[],Idea for : labels. Let me label who I follow and filter my feed when I want to only see SaaS/Fantasy Footbaâ€_,geoff_byron,"Walnut Creek, CA",Thu Oct 25 04:38:52 +0000 2018
[],Talk about getting eure,HASthe3rd,"Severn, MD",Thu Oct 25 04:40:15 +0000 2018
"['SPLENDAcrowd', 'sponsored']",I would love to make these for the Halloween party this weekend.,beej789,"Parma, OH",Thu Oct 25 04:40:46 +0000 2018
[],"Dear Seattle, There are other sports besides Seahawks football.",RealRidgeODell,"Seattle, WA",Thu Oct 25 04:40:50 +0000 2018
[],After the last couple of underachieving football years we realâ€_,TheCoachinator,"Pensacola, FL",Thu Oct 25 04:41:48 +0000 2018
[],Football outsider pack so far we have L Meh and W . .. cost me training n a silver n gold token wish me lâ€_,iim_riskyy,"Warwick, RI",Thu Oct 25 04:41:50 +0000 2018
[],UH football was so bad in the s under him my dad took me to Rice instead when I was a kid.,SHPawdcast,"San Marcos, TX",Thu Oct 25 04:41:57 +0000 2018
[],Wow! All the people of the planet should hear this. Retweet it.,18donbaker,"South Carolina, USA",Thu Oct 25 04:42:41 +0000 2018
[],Inktober Day Football fact Those pentagon groves on the ball are very important because the help catch the windâ€_,comicenginealex,"Atlanta, GA",Thu Oct 25 04:43:17 +0000 2018
[],"Dear college football god, I would trade a loss to Arkansas if we could just beat Bama this year. I just want one wâ€_",RichHomieDave11,"Baton Rouge, LA",Thu Oct 25 04:44:00 +0000 2018
['SIZZLETOWN'],"Action-packed episode of featuring Barry Football, Dionâ€™s lawyer and the Pikelet Man!",connermoo,"Adelaide, South Australia",Thu Oct 25 04:45:06 +0000 2018
[],"you lost to the guy who drafted eli manning, what do you know?",notstephensabo,"Toms River, NJ",Thu Oct 25 04:45:19 +0000 2018
['WLeague'],"Perfect football day. Starting with winning, finishing with opener. On and tâ€_",NedGrandstand,"Sydney, New South Wales",Thu Oct 25 04:46:14 +0000 2018
[],"football players should throw a party in panther quarters this week, just saying _Ÿ_·â€çï¸è",bribrielle_,"Prairie View, TX",Thu Oct 25 04:46:57 +0000 2018
[],POINT COOK FC JUNIOR FOOTBALL ACADEMY REGISTRATIONS CLOSE IN WEEKS!! See link in bio to register Point Coâ€_,PointCookFC,"Melbourne, Victoria",Thu Oct 25 04:48:48 +0000 2018
[],COPA Future Stars Camp has kicked off and it has been nothing short of the boys rubbing shoulders andâ€_,PlaymakersZA,"Johannesburg, South Africa",Thu Oct 25 04:49:29 +0000 2018
[],Sergio Busquets escaped from two defenders inside the space of a telephone boothâ€_ dem gadâ€_,SampleMayne,Jamaica,Thu Oct 25 04:50:09 +0000 2018
[],Futureï¸è,Pdl_Milan,"Melbourne, Victoria",Thu Oct 25 04:50:18 +0000 2018
[],Happy birthday the greatest flag football coach in CVI _Ÿ_™,DJ_Gutierrez99,"Castro Valley, CA",Thu Oct 25 04:50:18 +0000 2018
['SouthSudan'],"And as is also the newest member of FIFA, it makes sense to follow it up with a football match. Of courâ€_",TimKrap,Juba,Thu Oct 25 04:50:44 +0000 2018
[],High school football preview: Don Lugo vs. Chaffey on Thursday,SteveRRamirez,"Rancho Cucamonga, CA",Thu Oct 25 04:50:56 +0000 2018
[],Iâ€™m there Coach!,PicoTrojan,"Pico Rivera, CA",Thu Oct 25 04:50:56 +0000 2018
[],NBA College Football NFL College Basketball,jalennbryant,"Norman, OK",Thu Oct 25 04:52:03 +0000 2018
[],No hard and fast rules I agree. But if the only way you eerience football is via a screen you are misâ€_,BNEShrimper,"Brisbane, Queensland",Thu Oct 25 04:52:18 +0000 2018
[],THURSDAY NIGHT FOOTBALL,meka_george,"Lagos, Nigeria",Thu Oct 25 04:52:34 +0000 2018
[],lol i think his football vids are good but its hard to be taken serious i mean yeah the Eagles areâ€_,SavnRyansPrvate,"Tempe, AZ",Thu Oct 25 04:52:39 +0000 2018
[],Big football guy quote,fialabama,"Scranton, PA",Thu Oct 25 04:52:40 +0000 2018
[],"Agreed. Football is indeed a universal sport, one of the major spectacles that bring the world together.",SimangalisoMdl2,"Johannesburg, South Africa",Thu Oct 25 04:55:08 +0000 2018
[],Nothing puts the constant flux of talent and power in the NFL better than fantasy football. Sans New England. They don't stop.,jp4dubv,"St Albans, WV",Thu Oct 25 04:55:08 +0000 2018
[],What an football eerience! Main stand at the Bombonera!COMMEBOL Libertadores Semi Final . October Boca Juniorsâ€_,FPSFair,"Ciudad AutÃ_noma de Buenos Aires, Argentina",Thu Oct 25 04:56:07 +0000 2018
"['goCougs', 'palouseposse', 'bestinthewest', 'pac12', 'unclerico']",Cougs rolling with the seed,_beejanka,"Scottsdale, AZ",Thu Oct 25 04:56:30 +0000 2018
[],and plays football,breepapas,"Phoenix, AZ",Thu Oct 25 04:57:00 +0000 2018
[],Come on out Friday Night for the big rivalry game! vs !!!,brandon_beard,"Manchester, NH",Thu Oct 25 04:57:12 +0000 2018
[],Toro frosh football finishes strong with a convincing win over the Dobson Mustangs.,MVTAthletics,"Fountain Hills, AZ",Thu Oct 25 04:57:30 +0000 2018
[],"FMFFT fuck my fantasy football team, winless in the Bescup league (not too much better in the Pendleton league) â€_",DankGameAlert,"Paradise, NV",Thu Oct 25 04:57:42 +0000 2018
"['campusofchampions', 'torosrising', 'babytoros']",Toro frosh football finishes the season strong with a convincing win over the Dobson Mustangs.,MVTAthletics,"Fountain Hills, AZ",Thu Oct 25 04:59:04 +0000 2018
[],Iâ€™ll pay a dollar to see you pick up a bar of soap thatâ€™s all i ask.,PapiHundro,"Hammond, LA",Thu Oct 25 04:59:21 +0000 2018
[],Enjoyed talking with about their postseason aspirations! Look forward to eeriencing that environmeâ€_,NCouz,"Fargo, ND",Thu Oct 25 05:00:10 +0000 2018
[],I just. PAID. For a ticket. To an NSU football game.,alecseanh,"Garland, TX",Thu Oct 25 05:00:34 +0000 2018
[],Watch out for these players in the upcoming I-League season â€_,iffc_official,"West Bengal, India",Thu Oct 25 05:00:52 +0000 2018
[],See this why I don't play fantasy football anymore. I'll never play a man who plays against the Saints!! Smh,SAINTSnLAKERS,"Burbank, CA",Thu Oct 25 05:01:35 +0000 2018
[],"the school itself is an amazing school for what i want to study. its the fans that make me go crazy, iâ€_",marrpope,"Keystone, FL",Thu Oct 25 05:01:58 +0000 2018
[],Kaizer Chiefs football club need to beat Pirates come Saturday after that we boo Rhulani nxaa.,Mfanaka_Tsiki,"Kriel, South Africa",Thu Oct 25 05:02:40 +0000 2018
[],Enjoyed talking with about the playoffs! Friday night will be a great atmosphere!,NCouz,"Fargo, ND",Thu Oct 25 05:03:49 +0000 2018
[],"For some odd reason I decided to watch and holy shit, I'm hooked. Gonna binge watching this show.â€_",Superman956,"San Benito, TX",Thu Oct 25 05:03:57 +0000 2018
[],of : I played HS football in WI. The MN playoff scheme never made sense toâ€_,EJEngwall,"Lakeville, MN",Thu Oct 25 05:04:23 +0000 2018
[],"Football outsiders and cost me k and gold and silver tokens, .... Wish me luck. So far we have W's Lâ€_",iim_riskyy,"Warwick, RI",Thu Oct 25 05:05:12 +0000 2018
['Purplebricks'],boss scores with 'biggest football disruption for decades',PropertyJourn,"Topsham, England",Thu Oct 25 05:06:52 +0000 2018
[],Good luck for the upcoming matches Please verify your Twitter account As it is a semiâ€_,iffc_official,"Kolkata, India",Thu Oct 25 05:06:59 +0000 2018
[],I feel ya. But for me I got NO pleasure in seeing any player burn our Saints! No matteâ€_,SAINTSnLAKERS,"Burbank, CA",Thu Oct 25 05:07:52 +0000 2018
[],They are football players - not heroes!,BaiAnNa2014,"Connecticut, USA",Thu Oct 25 05:08:01 +0000 2018
